id_pelicula,titulo,popularidad,promedio_votos,cantidad_votos,presupuesto,ingresos,codigo_idioma_iso,nombre_compania_produccion,nombre_pais,fecha_estreno,nombre_actor,director,porcentage_ganancias,Action,Adventure,Animation,Comedy,Crime,Desconocido,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
5,Four Rooms,9.03,6.5,539.0,4000000,4300000,en,Miramax Films,United States of America,1995-12-09,Tim Roth,Allison Anders,107.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Star Wars,42.15,8.1,6778.0,11000000,775398007,en,Lucasfilm,United States of America,1977-05-25,Mark Hamill,George Lucas,7049.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Finding Nemo,25.5,7.6,6292.0,94000000,940335536,en,Pixar Animation Studios,United States of America,2003-05-30,Albert Brooks,Andrew Stanton,1000.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Forrest Gump,48.31,8.2,8147.0,55000000,677945399,en,Paramount Pictures,United States of America,1994-07-06,Tom Hanks,Robert Zemeckis,1232.63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,American Beauty,20.73,7.9,3438.0,15000000,356296601,en,DreamWorks SKG,United States of America,1999-09-15,Kevin Spacey,Sam Mendes,2375.31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Citizen Kane,15.81,8.0,1244.0,839727,23217674,en,RKO Radio Pictures,United States of America,1941-04-30,Orson Welles,Orson Welles,2764.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,Dancer in the Dark,10.68,7.7,392.0,12800000,40031879,en,Fine Line Features,Argentina,2000-05-17,Björk,Lars von Trier,312.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,The Fifth Element,24.31,7.3,3962.0,90000000,263920180,en,Columbia Pictures,France,1997-05-07,Bruce Willis,Luc Besson,293.24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Metropolis,14.49,8.0,666.0,92620000,650422,xx,Paramount Pictures,Germany,1927-01-10,Brigitte Helm,Fritz Lang,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Pirates of the Caribbean: The Curse of the Black Pearl,47.33,7.5,7191.0,140000000,655011224,en,Walt Disney Pictures,United States of America,2003-07-09,Johnny Depp,Gore Verbinski,467.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Kill Bill: Vol. 1,25.26,7.699999999999999,5091.0,30000000,180949000,en,Miramax Films,United States of America,2003-10-10,Uma Thurman,Quentin Tarantino,603.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Jarhead,10.0,6.599999999999999,776.0,72000000,96889998,en,Universal Pictures,Germany,2005-11-04,Jamie Foxx,Sam Mendes,134.57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,9 Songs,18.85,5.1,103.0,1000000,1574623,en,Revolution Films,United Kingdom,2004-07-16,Kieran O'Brien,Michael Winterbottom,157.46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Apocalypse Now,13.6,8.0,2112.0,31500000,89460381,km,United Artists,United States of America,1979-08-15,Martin Sheen,Francis Ford Coppola,284.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Unforgiven,10.94,7.7,1133.0,14000000,159157447,en,Malpaso Productions,United States of America,1992-08-07,Clint Eastwood,Clint Eastwood,1136.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,The Simpsons Movie,14.3,6.9,2335.0,75000000,527068851,en,Gracie Films,United States of America,2007-07-25,Dan Castellaneta,David Silverman,702.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Eternal Sunshine of the Spotless Mind,12.910000000000002,7.900000000000001,3758.0,20000000,72258126,en,Anonymous Content,United States of America,2004-03-19,Jim Carrey,Michel Gondry,361.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,Amores perros,5.96,7.6,537.0,2000000,20908467,es,Altavista Films,Mexico,2000-06-16,Gael García Bernal,Alejandro González Iñárritu,1045.42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Pirates of the Caribbean: Dead Man's Chest,29.459999999999997,7.0,5380.0,200000000,1065659812,en,Walt Disney Pictures,United States of America,2006-06-20,Johnny Depp,Gore Verbinski,532.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,A History of Violence,11.12,6.9,850.0,32000000,60740827,en,New Line Cinema,United States of America,2005-09-23,Viggo Mortensen,David Cronenberg,189.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2001: A Space Odyssey,22.49,7.9,3075.0,10500000,68700000,en,Stanley Kubrick Productions,United States of America,1968-04-10,Keir Dullea,Stanley Kubrick,654.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,Twelve Monkeys,12.300000000000002,7.400000000000001,2470.0,29500000,168840000,en,Universal Pictures,United States of America,1995-12-29,Bruce Willis,Terry Gilliam,572.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,Talk to Her,6.65,7.5,273.0,9285469,51001550,es,Vía Digital,Spain,2002-03-14,Leonor Watling,Pedro Almodóvar,549.26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8 Mile,8.37,6.8,1676.0,41000000,215000000,en,Imagine Entertainment,United States of America,2002-11-08,Eminem,Curtis Hanson,524.39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Absolute Power,7.66,6.400000000000001,226.0,50000000,50068310,en,Columbia Pictures,United States of America,1997-02-14,Clint Eastwood,Clint Eastwood,100.14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Walk the Line,11.48,7.3,732.0,28000000,186438883,en,Tree Line Films,Germany,2005-09-13,Joaquin Phoenix,James Mangold,665.85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Million Dollar Baby,14.470000000000002,7.7,2519.0,30000000,216763646,en,Lakeshore Entertainment,United States of America,2004-12-15,Clint Eastwood,Clint Eastwood,722.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Billy Elliot,12.160000000000002,7.400000000000001,774.0,5000000,110000000,en,BBC Films,France,2000-05-18,Jamie Bell,Stephen Daldry,2200.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,American History X,18.16,8.2,3120.0,20000000,23875127,en,New Line Cinema,United States of America,1998-10-30,Edward Norton,Tony Kaye,119.38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,War of the Worlds,19.93,6.2,2397.0,132000000,591739379,en,Paramount Pictures,United States of America,2005-06-28,Tom Cruise,Steven Spielberg,448.29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
