id_pelicula,titulo,popularidad,promedio_votos,presupuesto,ingresos,codigo_idioma_iso,nombre_compania_produccion,nombre_pais,fecha_estreno,director,porcentage_ganancias,Action,Adventure,Animation,Comedy,Crime,Desconocido,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
297762,Wonder Woman,294.34,7.2,149000000,820580447,de,Dune Entertainment,United States of America,2017-05-30,Patty Jenkins,550.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339403,Baby Driver,228.03000000000003,7.2,34000000,224511319,en,Big Talk Productions,United Kingdom,2017-06-28,Edgar Wright,660.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177572,Big Hero 6,213.85,7.8,165000000,652105443,en,Walt Disney Pictures,United States of America,2014-10-24,Chris Williams,395.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293660,Deadpool,187.86,7.4,58000000,783112979,en,Twentieth Century Fox Film Corporation,United States of America,2016-02-09,Tim Miller,1350.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283995,Guardians of the Galaxy Vol. 2,185.33,7.6,200000000,863416141,en,Walt Disney Pictures,United States of America,2017-04-19,James Gunn,431.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19995,Avatar,185.07,7.2,237000000,-2147483648,en,Ingenious Film Partners,United States of America,2009-12-10,James Cameron,-906.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245891,John Wick,183.87,7.0,20000000,88761661,hu,Summit Entertainment,Canada,2014-10-22,Chad Stahelski,443.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281338,War for the Planet of the Apes,146.16,6.7,152000000,369907963,en,Chernin Entertainment,Canada,2017-07-11,Matt Reeves,243.36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
271110,Captain America: Civil War,145.88,7.1,250000000,1153304495,ro,Studio Babelsberg,United States of America,2016-04-27,Anthony Russo,461.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,Pulp Fiction,140.95,8.3,8000000,213928762,en,Miramax Films,United States of America,1994-09-10,Quentin Tarantino,2674.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
166426,Pirates of the Caribbean: Dead Men Tell No Tales,133.83,6.6,230000000,794191988,en,Walt Disney Pictures,United States of America,2017-05-23,Joachim Rønning,345.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,The Dark Knight,123.17,8.3,185000000,1004558444,en,DC Comics,United Kingdom,2008-07-16,Christopher Nolan,543.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
268531,Captain Underpants: The First Epic Movie,88.56,6.5,38000000,110824373,nl,DreamWorks Animation,United States of America,2017-06-01,David Soren,291.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339988,The Circle,88.44,5.400000000000001,18000000,20497844,en,Likely Story,United States of America,2017-04-27,James Ponsoldt,113.88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
198663,The Maze Runner,76.94,7.0,34000000,348319861,en,Ingenious Media,United States of America,2014-09-10,Wes Ball,1024.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126889,Alien: Covenant,72.88,5.7,97000000,232380243,en,Twentieth Century Fox Film Corporation,Australia,2017-05-09,Ridley Scott,239.57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
315837,Ghost in the Shell,68.73,5.9,110000000,169801921,ja,Paramount Pictures,Australia,2017-03-29,Rupert Sanders,154.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244786,Whiplash,64.3,8.3,3300000,13092000,en,Bold Films,United States of America,2014-10-10,Damien Chazelle,396.73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Fight Club,63.87,8.3,63000000,100853753,en,Twentieth Century Fox Film Corporation,Germany,1999-10-15,David Fincher,160.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
263115,Logan,54.58,7.6,97000000,616801808,en,Twentieth Century Fox Film Corporation,United States of America,2017-02-28,James Mangold,635.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
